question,answer
사내 포털에 로그인할 수 없어요,ID/PW 확인 후 IT헬프데스크(내선 1234)로 연락하시거나 비밀번호 재설정을 이용해주세요.
로그인이 안 돼요,ID/PW 확인 후 IT헬프데스크(내선 1234)로 연락하시거나 비밀번호 재설정을 이용해주세요.
비밀번호를 잊어버렸는데 어떻게 하나요?,로그인 화면에서 '비밀번호 찾기'를 클릭하거나 IT헬프데스크로 연락주시면 임시 비밀번호를 발급해드립니다.
비밀번호 재설정 방법이 궁금해요,로그인 화면에서 '비밀번호 찾기'를 클릭하거나 IT헬프데스크로 연락주시면 임시 비밀번호를 발급해드립니다.
VPN 연결이 안 되는 이유가 뭔가요?,"네트워크 상태 확인 후, VPN 클라이언트 재설치 또는 IT부서에 네트워크 상태 점검을 요청해주세요."
VPN이 계속 끊어져요,"네트워크 상태 확인 후, VPN 클라이언트 재설치 또는 IT부서에 네트워크 상태 점검을 요청해주세요."
계정이 잠겼다고 나와요,보안정책에 따라 5회 로그인 실패 시 계정이 잠깁니다. IT헬프데스크로 연락하시면 잠금 해제해드립니다.
이중인증 설정은 어떻게 하나요?,사내 포털 > 내정보 > 보안설정에서 OTP 앱을 등록하시면 됩니다. 자세한 가이드는 IT부서 공지사항을 확인해주세요.
모바일에서 사내 시스템 접속이 안 돼요,모바일 전용 앱을 설치하거나 VPN 연결 후 브라우저로 접속해주세요. 앱 설치 링크는 IT공지사항에 있습니다.
원격 접속 프로그램이 느려요,"네트워크 상태와 PC 성능을 확인해주시고, 불필요한 프로그램 종료 후 재접속을 시도해보세요."
사내 Wi-Fi 비밀번호를 알려주세요,"방문객용: Guest2024, 직원용: 개인별로 발급된 계정을 사용해주세요. 계정 문의는 IT헬프데스크로 연락바랍니다."
새 직원 계정 생성을 요청하고 싶어요,인사팀에서 입사자 정보 등록 후 IT부서에서 자동으로 계정을 생성합니다. 입사 첫날까지 완료됩니다.
이메일이 발송되지 않아요,첨부파일 용량(25MB 제한) 확인 및 수신자 이메일 주소를 재확인해주세요. 지속 시 IT헬프데스크로 연락바랍니다.
메일이 안가요,첨부파일 용량(25MB 제한) 확인 및 수신자 이메일 주소를 재확인해주세요. 지속 시 IT헬프데스크로 연락바랍니다.
이메일 발송 문제 해결 방법,첨부파일 용량(25MB 제한) 확인 및 수신자 이메일 주소를 재확인해주세요. 지속 시 IT헬프데스크로 연락바랍니다.
메일 전송이 실패해요,첨부파일 용량(25MB 제한) 확인 및 수신자 이메일 주소를 재확인해주세요. 지속 시 IT헬프데스크로 연락바랍니다.
메일 용량 제한이 어떻게 되나요?,"개인 메일박스는 5GB, 첨부파일은 25MB까지 가능합니다. 용량 초과 시 불필요한 메일 삭제를 권장합니다."
메일함이 꽉 찼다고 나와요,"개인 메일박스는 5GB, 첨부파일은 25MB까지 가능합니다. 용량 초과 시 불필요한 메일 삭제를 권장합니다."
스팸 메일을 차단하고 싶어요,메일 설정 > 스팸필터에서 발신자 차단 또는 키워드 필터링을 설정할 수 있습니다.
메신저가 계속 오프라인으로 표시돼요,메신저 프로그램 재시작 또는 네트워크 상태를 확인해주세요. 방화벽 설정도 점검해보시기 바랍니다.
